"title","channel_title","category_id","category_desc","views","likes","dislikes","comment_total","day","month"
"KJ Apa Responds to Riverdale's Absurd Fan Theories | ELLE","ELLE",23,"Comedy",386050,16297,96,595,20,1
"In Your Dreams | Hannah Stocking","Hannah Stocking",23,"Comedy",1284613,56245,1034,2995,20,1
"Bitch - Official Movie Trailer (2017)","dsf2006",1,"Film & Animation",20929,116,78,58,20,1
"Is Everything Better with Peanut Butter?","Good Mythical Morning",24,"Entertainment",1944556,41256,1756,8954,20,1
"Celebrating Selena Quintanilla","googledoodles",10,"Music",0,0,0,0,20,1
"When The Curtain Falls | ANNOUNCEMENT","Carrie Hope Fletcher",24,"Entertainment",78675,6710,62,789,20,1
"Artist Makes Amazing Fashion Illustrations","INSIDER",26,"Howto & Style",36377,1233,24,59,20,1
"Chewy Salted Chocolate Caramels | Cupcake Jemma","CupcakeJemma",26,"Howto & Style",46386,2686,31,113,20,1
"MGMT - Little Dark Age","MGMTVEVO",10,"Music",895043,29006,1376,3868,20,1
"LeBron James Postgame Interview | Celtics vs Cavaliers | Oct 17, 2017 | 2017-18 NBA season","Ximo Pierto",17,"Sports",117413,1045,75,295,20,1
"Bon Iver - 8 (circle) | One To One","La Blogothèque",10,"Music",295445,6162,103,385,20,1
"Look at Tiny Baby Hank","vlogbrothers",22,"People & Blogs",207922,16186,129,1284,20,1
"Brett Eldredge - The Long Way (Official Music Video)","Brett Eldredge",10,"Music",1540628,12178,731,748,20,1
"ASHLEY TISDALE WEDDING TUTORIAL | PatrickStarrr","PatrickStarrr",26,"Howto & Style",992866,46869,491,2539,20,1
"King Gizzard & The Lizard Wizard - Crumbling Castle","Flightless",22,"People & Blogs",57832,3724,21,649,20,1
"Want It All  (Full Length)","Nike",17,"Sports",6511193,6052,145,661,20,1
"Look What You Made Me Do - Looks","Taylor Swift",10,"Music",518915,32179,640,1677,20,1
"BURGER KING | Bullying Jr.","BURGER KING",24,"Entertainment",245325,2427,225,338,20,1
"Why It Is What Time It Is  (The History of Time)","It's Okay To Be Smart",27,"Education",238133,11982,173,903,20,1
"Full story of Hywind Scotland – world’s first floating wind farm","Statoil",28,"Science & Technology",69718,277,1,36,20,1
"Adam Savage's Set Tour of the Blade Runner Universe!","Tested",28,"Science & Technology",105594,3763,61,295,20,1
"Divided island: How Haiti and the DR became two worlds","Vox",25,"News & Politics",528957,29615,2071,6379,20,1
"Fifth Harmony Play 'Requestions' w/ TRL Fans! | Weekdays at 3:30pm | #TRL","TRL",24,"Entertainment",66026,2282,99,160,20,1
"Google Pixel 2 Unboxing! (Best Android 8.0 Features)","Marques Brownlee",28,"Science & Technology",1766419,63742,1410,6607,20,1
"PINHEAD HALLOWEEN COSTUME MAKEUP TUTORIAL W/ RAWBEAUTYKRISTI","Jordan Hanz",26,"Howto & Style",112868,5947,127,757,20,1
"Niall Horan - Too Much To Ask (Behind The Scenes)","NiallHoranVEVO",10,"Music",465655,80290,142,4875,20,1
"What To Do If Your Parachute Fails","austinmcconnell",23,"Comedy",1374054,86692,1114,5874,20,1
"Pumpkin Spice Everything","AnthonyPadilla",23,"Comedy",140554,13952,190,1137,20,1
"Do We Have Free Will or Are We Predetermined?","The School of Life",27,"Education",120326,4620,403,929,20,1
"The Shining Twins talk Kubrick, Nicholson & remakes!","Jamie Stangroom",24,"Entertainment",12162,136,3,28,20,1
"Dimitri Vegas & Like Mike vs David Guetta feat. Kiiara - Complicated (R3HAB Remix)","R3HAB",10,"Music",66416,5608,97,231,20,1
"Dainá Performing At #YouTubeBlack FanFest Washington D.C  2017","Dainá",10,"Music",88067,7471,479,1310,20,1
"Crane Removal - Timelapse","Denyer Pro Photography & Retouching",26,"Howto & Style",90250,496,76,86,20,1
"Top 15 Plays of Week 6 | NFL Highlights","NFL",17,"Sports",134602,1460,57,315,20,1
"LIVE Q & A with Birdie, Brie and Winston | Brie confirms her WWE return in 2018 and baby #2!","The Bella Twins",22,"People & Blogs",106510,5692,61,851,20,1
"Louis Tomlinson - Just Like You (Lyric Video)","LouisTomlinsonVEVO",10,"Music",1934642,246254,992,18605,20,1
"The Shield make their entrance together for the first time in three years: Raw, Oct. 16, 2017","WWE",17,"Sports",3610419,88305,1675,8152,20,1
"Morrissey - Spent the Day in Bed (Official Video)","MorrisseyOnVEVO",10,"Music",359146,10221,397,1360,20,1
"Why California's Musical Road Sounds Terrible","Tom Scott",27,"Education",1799524,49810,1332,3512,20,1
"How To Make A GROSS-Tacular Surprise Inside HALLOWEEN ROULETTE CAKE | Yolanda Gampp | How To Cake It","How To Cake It",26,"Howto & Style",661198,22820,506,8272,20,1
"A Boogie Wit Da Hoodie Goes Sneaker Shopping With Complex","Complex",24,"Entertainment",1747290,47209,964,5153,20,1
"Draymond Green: I don't know how serious the Rockets take defense","NBA Highlights · YouTube",17,"Sports",92335,214,179,246,20,1
"LeBron James and Dwyane Wade exclusive interview with Rachel Nichols | The Jump | ESPN","ESPN",17,"Sports",818928,13824,452,1694,20,1
"MIRANDA SINGS LISTICK CUPCAKES! #hatersbackoff - The Scran Line","The Scran Line",26,"Howto & Style",20414,1218,27,174,20,1
"Roussel & Schenn engage in hilarious, punchless fight","SPORTSNET",17,"Sports",30279,175,5,73,20,1
"This cat just realised that he's been neutered.. Wait for it \n\nNewsflare","World TV",22,"People & Blogs",35705,104,24,21,20,1
"HATERS BACK OFF PANTS COOKIES - NERDY NUMMIES","Rosanna Pansino",26,"Howto & Style",391659,18396,256,3932,20,1
"Fall Makeup Tutorial ft. PatrickStarrr | Ashley Tisdale","Ashley Tisdale",26,"Howto & Style",158462,11393,90,612,20,1
"John McCain Liberty Medal speech -","Tony's - 24/7 Eyes",24,"Entertainment",35073,485,303,356,20,1
"Logan Paul - Outta My Hair [Official Music Video]","Logan Paul Vlogs",24,"Entertainment",15144244,1021503,97164,137426,20,1
"Equifax: Last Week Tonight with John Oliver (HBO)","LastWeekTonight",24,"Entertainment",3787570,72018,2671,5926,20,1
"I Bought A $500 'LUXURY' Mystery Box from Ebay- OMG WHY","grav3yardgirl",26,"Howto & Style",1160115,34759,1967,5491,20,1
"John Oliver - Harvey Weinstein","consumer",23,"Comedy",1128403,8265,1224,1732,20,1
"Latinos React To The Selena Google Doodle","Pero Like",22,"People & Blogs",166525,9987,82,578,20,1
"EXCITED Dogs in Car Can't Stop Howling For The Park | The Dodo","The Dodo",15,"Pets & Animals",91816,2894,58,229,20,1
