Amazon,,,,Starbucks,,,,Coca-Cola,,,,S&P 500,,,
date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return
4/7/2000,67.56,3.31,5.15,4/7/2000,4.4263,0.2762,6.66,4/7/2000,14.4872,0.138,0.96,4/7/2000,108.3555,0.682,0.63
4/10/2000,63.38,-4.18,-6.19,4/10/2000,4.0474,-0.3789,-8.56,4/10/2000,14.114,-0.3732,-2.58,4/10/2000,107.9306,-0.4249,-0.39
4/11/2000,63.38,0,0.00,4/11/2000,4.1921,0.1447,3.58,4/11/2000,14.8008,0.6868,4.87,4/11/2000,107.6176,-0.313,-0.29
4/12/2000,56.38,-7,-11.04,4/12/2000,4.1579,-0.0342,-0.82,4/12/2000,15.2117,0.4109,2.78,4/12/2000,104.6661,-2.9515,-2.74
4/13/2000,48,-8.38,-14.86,4/13/2000,4.4009,0.243,5.84,4/13/2000,14.8197,-0.392,-2.58,4/13/2000,103.2127,-1.4534,-1.39
4/14/2000,46.88,-1.12,-2.33,4/14/2000,3.8882,-0.5127,-11.65,4/14/2000,14.7412,-0.0785,-0.53,4/14/2000,97.3097,-5.903,-5.72
4/17/2000,47.06,0.18,0.38,4/17/2000,3.9921,0.1039,2.67,4/17/2000,15.2117,0.4705,3.19,4/17/2000,100.7084,3.3987,3.49
4/18/2000,54.94,7.88,16.74,4/18/2000,4.1369,0.1448,3.63,4/18/2000,15.2525,0.0408,0.27,4/18/2000,103.3692,2.6608,2.64
4/19/2000,53.44,-1.5,-2.73,4/19/2000,4.1159,-0.021,-0.51,4/19/2000,15.4281,0.1756,1.15,4/19/2000,102.4078,-0.9614,-0.93
4/20/2000,52.38,-1.06,-1.98,4/20/2000,4.1369,0.021,0.51,4/20/2000,15.5065,0.0784,0.51,4/20/2000,102.8997,0.4919,0.48
4/24/2000,49.81,-2.57,-4.91,4/24/2000,4.4131,0.2762,6.68,4/24/2000,15.5661,0.0596,0.38,4/24/2000,101.7817,-1.118,-1.09
4/25/2000,52.44,2.63,5.28,4/25/2000,4.2197,-0.1934,-4.38,4/25/2000,15.839,0.2729,1.75,4/25/2000,106.0077,4.226,4.15
4/26/2000,53.5,1.06,2.02,4/26/2000,4.1026,-0.1171,-2.78,4/26/2000,15.5065,-0.3325,-2.10,4/26/2000,104.8114,-1.1963,-1.13
